area,item,element,year,unit,value
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy","Manure management (manure treated, N content)",1969,kg,280018487.808
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Emissions CH4),1969,kt,69.9247
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Emissions N2O),1969,kt,3.4273
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Direct emissions N2O),1969,kt,2.0076
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Indirect emissions N2O),1969,kt,1.4196
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (N content),1969,kg,70004621.952
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture that leaches (N content),1969,kg,21001386.5856
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture that volatilises (N content),1969,kg,14000924.3904
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Emissions N2O),1969,kt,2.6677
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Direct emissions N2O),1969,kt,2.2001
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that leaches) (Manure on pasture),1969,kt,0.2475
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that volatilises) (Manure on pasture),1969,kt,0.22
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (Indirect emissions N2O),1969,kt,0.4675
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils (N content),1969,kg,181698860.9353
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils that leaches (N content),1969,kg,54509658.2806
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils that volatilises (N content),1969,kg,36339772.1871
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Emissions (N2O) (Manure applied),1969,kt,4.0688
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils (Direct emissions N2O),1969,kt,2.8553
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that leaches) (Manure applied),1969,kt,0.6424
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Indirect emissions (N2O that volatilises) (Manure applied),1969,kt,0.5711
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure applied to soils (Indirect emissions N2O),1969,kt,1.2135
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Stocks,1970,An,3303767
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Livestock total (Emissions N2O),1970,kt,10.0844
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Livestock total (Emissions CH4),1970,kt,455.9198
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Enteric fermentation (Emissions CH4),1970,kt,386.5407
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy","Manure management (manure treated, N content)",1970,kg,277833589.632
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Emissions CH4),1970,kt,69.3791
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Emissions N2O),1970,kt,3.4005
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Direct emissions N2O),1970,kt,1.992
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure management (Indirect emissions N2O),1970,kt,1.4086
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture (N content),1970,kg,69458397.408
United Kingdom of Great Britain and Northern Ireland,"Cattle, dairy",Manure left on pasture that leaches (N content),1970,kg,20837519.2224
